moisture,salinity,frequency,real,imaginary,Sandy,Clay,rou_s,rou_b
0.3,0.006,3.07,20.527766666666665,8.235,0.6025,0.0936999999999999,2.65,1.36
0.2,0.0,19.49,8.629566666666667,3.272866666666667,0.7361,0.0754,2.64,1.35
0.3,0.04,0.66,22.210466666666665,99.6202,0.5058,0.09,2.6,1.32
0.4,0.003,2.14,26.820833333333336,9.8021,0.7361,0.0754,2.64,1.35
0.1,0.012,10.37,4.638333333333333,1.7640333333333331,0.5058,0.09,2.6,1.32
0.1,0.009,14.97,4.564533333333333,1.2853666666666668,0.7361,0.0754,2.64,1.35
0.2,0.015,4.4,10.2023,5.298566666666667,0.4634,0.0975999999999999,2.65,1.35
0.3,0.003,1.08,23.313166666666664,43.61793333333333,0.4913,0.1035,2.65,1.33
0.05,0.012,12.94,4.0817000000000005,0.8195,0.4913,0.1035,2.65,1.33
0.1,0.1,13.37,5.565566666666666,1.9822,0.6025,0.0936999999999999,2.65,1.36
0.05,0.04,6.7,4.358666666666667,0.9781666666666666,0.4261999999999999,0.0675,2.7,1.36
0.05,0.012,8.53,4.057333333333333,0.8609333333333332,0.4634,0.0975999999999999,2.65,1.35
0.2,0.015,12.16,8.356766666666667,4.030266666666667,0.4261999999999999,0.0675,2.7,1.36
0.3,0.018,5.53,16.905599999999996,9.9594,0.4634,0.0975999999999999,2.65,1.35
0.05,0.009,19.34,3.465533333333333,0.5810666666666666,0.4634,0.0975999999999999,2.65,1.35
0.05,0.009,18.13,3.985966666666666,0.8631333333333333,0.6025,0.0936999999999999,2.65,1.36
0.05,0.012,3.85,4.4739,0.952,0.4634,0.0975999999999999,2.65,1.35
0.2,0.006,19.18,8.161200000000001,3.3401333333333336,0.6025,0.0936999999999999,2.65,1.36
0.05,0.009,15.94,3.8489333333333335,0.7102666666666666,0.4913,0.1035,2.65,1.33
0.2,0.003,14.15,6.850766666666666,2.2752666666666665,0.4913,0.1035,2.65,1.33
